,club,player,comment,label,gpt_sentiment_score,gpt_label,gpt_explanation,xlm_roberta_score,xlm_roberta_label,vader_score,vader_label
0,vfb,Alexander Nübel,"Silas fehlt halt enorm. Das hat man gerade gegen Real gesehen. Der hätte mindestens ein Tor gemacht, wenn er so viel Raum zur Verfügung gehabt hätte. Leweling konnte ja auch frei aufspielen, da er so viel Platz, wie in vielen Bundesliga-Spielen nicht, von Real eingeräumt bekommen hat. Die andere Sache ist halt, dass Nübel in jedem Spiel für ein oder zwei Patzer gut ist. Das kostet in der Championsleauge sicher Punkte, während es in der Bundesliga auch mal gut geht.Fazit: Ein selbstverschuldter Abgang eines Topspielers und das Setzen auf den falschen Torhüter, wird dazu führen, dass der VfB diese Saison wesentlich ofter struggeln wird, als letzte Saison.",NEGATIVE,-0.6,NEGATIVE,"The comment discusses Alexander Nübel's performance negatively, highlighting that he is prone to mistakes ('in jedem Spiel für ein oder zwei Patzer gut ist') which could cost points, especially in the Champions League. This indicates a lack of confidence in his abilities as a goalkeeper.",0.442599892616272,POSITIVE,-0.5994,NEGATIVE
1,vfb,Alexander Nübel,"Man kann auch als „nicht Fan“ sagen, das war ein geiles Spiel. Real wusste teilweise nicht, wohin mit dem Fußball vom VfB und das hat man vor allem am Anfang gemerkt. 1:1 war mehr als verdient und das Gegentor aus der Standardsituation KANN passieren, das nächste mal steht man anders da, dann fällt das 2:1 nicht. 3:1 war unnötig, da war schätze ich Mittelstädt (glaube ich) im weg vom Blick von Nübel. Das Ergebnis spiegelt auf keinen Fall das Spiel wieder und deshalb ist es sehr schade. Das war meiner Meinung nach ein Spiel auf Augenhöhe, erste Halbzeit geht an den VfB, zweite an Real.",NEUTRAL,0.0,NEUTRAL,"The comment discusses a soccer match without expressing a strong positive or negative sentiment towards Alexander Nübel. It mentions his involvement ('Nübel') but focuses on the overall game dynamics rather than praising or criticizing him specifically, leading to a neutral sentiment.",0.5756356120109558,POSITIVE,-0.9661,NEGATIVE
2,vfb,Alexander Nübel,Glückwunsch 🙌Post #Nübel No.1,POSITIVE,1.0,POSITIVE,"The comment congratulates Alexander Nübel and expresses a positive sentiment by using an uplifting emoji (🙌) and stating 'No.1', indicating support and appreciation for him.",0.8950307965278625,POSITIVE,0.0,NEUTRAL
3,vfb,Alexander Nübel,Nübel bester Mann😂😂😂,POSITIVE,1.0,POSITIVE,"The comment directly praises Alexander Nübel by stating he is the 'best man', which indicates a positive sentiment towards him. The laughing emojis suggest enjoyment or lightheartedness in the praise.",0.9268738627433776,POSITIVE,0.8271,POSITIVE
4,vfb,Alexander Nübel,"Wie letzte Saison: Bei jedem Spiel, was wir nicht gewonnen haben - mit Ausnahme von Hoffenheim & Bremen - hat unser Torwart einen maßgeblichen Anteil dran. Kanns nicht verstehen warum Nübel so gefeiert wird. Komplett overrated…",NEGATIVE,-1.0,NEGATIVE,"The comment expresses frustration and criticism towards Alexander Nübel, stating that he has a significant role in the team's losses and labeling him as overrated. This clearly shows a negative sentiment towards the player.",0.8109428882598877,NEGATIVE,0.0,NEUTRAL
5,vfb,Alexander Nübel,Immer weiter Jungs⚪️🔴Und: Nübelnübelnübel bis jetzt auch bockstark.Über die lächerliche Elfmeterentscheidung sollte man besser keine großen Worte verlieren...,POSITIVE,0.8,POSITIVE,"The comment expresses positive sentiment towards Alexander Nübel by stating he has been 'bockstark' (very strong) and praising his performance. The phrase 'Nübelnübelnübel' further emphasizes support for him. The mention of a controversial penalty decision is somewhat off-topic, but the overall tone remains supportive.",0.6636182069778442,NEGATIVE,-0.5994,NEGATIVE
6,vfb,Alexander Nübel,Und Nübel patzt zweimal zum Endstand 3:1,NEGATIVE,-1.0,NEGATIVE,"The comment indicates that Nübel made two mistakes leading to a final score of 3:1, which reflects negatively on his performance.",0.7271045446395874,NEUTRAL,0.0,NEUTRAL
7,vfb,Alexander Nübel,Dann aber auch Mal spielen lassen wenn nübel weg ist,NEUTRAL,0.0,NEUTRAL,"The comment expresses a desire for Alexander Nübel to play more, but it doesn't convey a strong positive or negative sentiment towards him. It simply suggests a future action regarding his playing time.",0.5032920241355896,NEUTRAL,0.0,NEUTRAL
8,vfb,Alexander Nübel,"Stark gekämpft! Schade, dass Nübel diese Saison seit dem Supercup nur noch auf 2. Liga-Niveau spielt 😢 Da muss langsam wieder mehr kommen",NEGATIVE,-0.5,NEGATIVE,"The comment expresses disappointment in Nübel's performance, indicating that he has been playing at a lower level than expected. The use of 'Schade' (a term expressing regret) and the emoji 😢 further emphasize the negative sentiment towards his performance this season.",0.904425084590912,NEGATIVE,-0.5255,NEGATIVE
9,vfb,Alexander Nübel,Wenn nübel gegen real so eine unruhe ausstrahlt liegen wir nach 15 min 3:0 hinten,NEGATIVE,-0.5,NEGATIVE,"The comment suggests that if Nübel continues to create unrest, the team would be losing heavily, which reflects a negative perception of his performance.",0.8817099928855896,NEGATIVE,0.0,NEUTRAL
10,vfb,Alexander Nübel,Nübel Nübel Nübel,NEUTRAL,0.0,NEUTRAL,"The comment simply repeats the player's name without any additional context or sentiment, which does not indicate a positive or negative feeling towards Alexander Nübel.",0.4849938452243805,NEGATIVE,0.0,NEUTRAL
